	1	2
0	amazing	68
1	beautiful	51
2	best	140
3	better	61
4	big	52
5	brilliant	72
6	classic	57
7	different	50
8	director	80
9	excellent	66
10	fact	53
11	feel	71
12	good	126
13	great	157
14	greatest	63
15	hard	53
16	life	102
17	like	147
18	little	60
19	long	63
20	look	55
21	lot	54
22	love	71
23	masterpiece	68
24	mind	54
25	movie	191
26	movies	122
27	new	63
28	old	61
29	oscar	61
30	perfect	63
31	performance	78
32	performances	66
33	plot	73
34	quite	59
35	real	65
36	really	103
37	role	72
38	saw	57
39	screen	71
40	seen	127
41	story	129
42	true	75
43	truly	68
44	want	53
45	watch	98
46	watching	64
47	work	77
48	world	76
49	year	51
0	10 10	37
1	best film	27
2	best films	16
3	best movie	20
4	best movies	14
5	best picture	15
6	big screen	13
7	black white	15
8	camera work	11
9	don know	12
10	don think	12
11	feel like	14
12	film film	15
13	film great	14
14	film history	11
15	film just	14
16	film like	15
17	film makers	12
18	film making	21
19	films like	14
20	good movie	15
21	great film	19
22	great movie	19
23	haven seen	19
24	long time	21
25	movie does	12
26	movie great	13
27	movie movie	12
28	movie really	11
29	movie seen	11
30	movies like	12
31	new york	15
32	oscar nominated	14
33	oscar winning	17
34	real life	14
35	saw film	11
36	saw movie	19
37	sci fi	11
38	seen film	18
39	seen movie	18
40	special effects	16
41	supporting cast	17
42	think movie	11
43	thought provoking	14
44	time watch	12
45	ve seen	52
46	watch movie	19
47	year old	16
48	years ago	11
49	years old	14
